"availabilityCode";"availabilityDesc"
"ALL_DAYS";"Almost all weekends"
"ALL_DAYS_ONLY_SAT";"Almost all weekends - saturday only"
"ALL_DAYS_ONLY_SUN";"Almost all weekends - only sunday"
"Guest";"Guest"
"ONCE_A_MNTH";"Only one time a month"
"THRICE_A_MNTH";"3 times in a month"
"THRICE_A_MNTH_ONLY_SAT";"3 times in a month - only sunday"
"THRICE_A_MNTH_ONLY_SUN";"3 times a month - only sunday"
"TWICE_A_MNTH";" 2 times in a month"
"TWICE_A_MNTH_ONLY_SAT";"2 times in a month - only saturday"
"TWICE_A_MNTH_ONLY_SUN";"2 timses a month - only sunday"
